LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	ANI_CI95	COVERED_SIG_LEN	BEST_SIG_COV	DEPTH	REL_ABUNDANCE	PARENT_NAME	PARENT_TAXID	TOTAL_READ_LEN	READ_IDT	TOTAL_BP_MISMATCH	TOTAL_BP_INDEL	ANI_NAIVE	ANI_CI95_LH	SIG_COV	MAPPED_SIG_LEN	TOTAL_SIG_LEN	COVERED_SIG_DEPTH	COVERED_MAPPED_SIG_COV	ZSCORE	GENOMIC_CONTENT_EST	ABUNDANCE	REL_ABUNDANCE_DEPTH	REL_ABUNDANCE_GC	SIG_LEVEL	GENOME_COUNT	GENOME_SIZE	NOTE
superkingdom	Bacteria	2	5331268	555848134	0.980642	224081170	0.986515	267.067963	0.999999	root	1	799690200	0.677402	14136683	26244	0.980547	[0.980377-0.980908]	0.057436	304916851	3901424224	2.480566	0.734893	0.116915	0.000000	267.067963	0.999999		species	2061	0	
superkingdom	Viruses	10239	1	31	0.500635	31	0.000158	0.000158	0.000001	root	1	150	0.206667	0	0	1.000000	[0.001271-1.0]	0.000158	302	196609	1.000000	0.102649	79.631814	0.000000	0.000158	0.000001		species	1	0	
superkingdom	Archaea	2157	4	141	0.500161	141	0.000032	0.000087	0.000000	root	1	600	0.230000	3	0	0.952381	[0.000322-0.999999]	0.000019	1936	7423596	1.000000	0.072831	175.447048	0.000000	0.000087	0.000000		species	4	0	
phylum	Pseudomonadota	1224	2607775	265068898	0.979287	105181206	0.986515	133.893174	0.501344	Bacteria	2	391166250	0.660687	6630537	12867	0.979245	[0.977672-0.980902]	0.049029	140484301	2145280107	2.520117	0.748704	0.116915	0.000000	133.893174	0.501344		species	1252	0	
phylum	Actinomycetota	201174	1216126	115029109	0.980642	46140055	0.961174	58.914003	0.220595	Bacteria	2	182418900	0.615867	2683304	4896	0.980547	[0.980377-0.980908]	0.072701	54795289	634657964	2.493042	0.842044	0.200985	0.000000	58.914003	0.220595		species	335	0	
phylum	Bacillota	1239	457116	57271430	0.977483	14908694	0.984024	26.193465	0.098078	Bacteria	2	68567400	0.811322	1641157	3066	0.978012	[0.972098-0.982868]	0.042242	24610755	352939390	3.841479	0.605780	0.127420	0.000000	26.193465	0.098078		species	192	0	
phylum	Bacteroidota	976	327270	36312286	0.976558	18898623	0.931843	19.176481	0.071804	Bacteria	2	49090500	0.719788	977532	2428	0.976547	[0.974299-0.978817]	0.059162	28185743	319440927	1.921425	0.670503	0.270449	0.000000	19.176481	0.071804		species	129	0	
phylum	Chlorobiota	1090	72774	6599425	0.977599	906495	0.946296	6.912054	0.025881	Bacteria	2	10916100	0.590942	148639	208	0.977488	[0.977285-0.977912]	0.064386	917083	14079149	7.280156	0.988455	0.238226	0.000000	6.912054	0.025881		species	8	0	
phylum	Thermodesulfobacteriota	200940	186062	22612915	0.974386	13449945	0.822027	6.053216	0.022665	Bacteria	2	27909300	0.787340	638800	999	0.977494	[0.961816-0.986956]	0.094192	20937934	142792828	1.681264	0.642372	0.465301	0.000000	6.053216	0.022665		species	42	0	
phylum	Campylobacterota	29547	51812	4894113	0.977197	1736569	0.875621	4.980949	0.018650	Bacteria	2	7771800	0.615144	113335	95	0.977084	[0.976931-0.977462]	0.042089	1867092	41259664	2.818266	0.930093	0.376891	0.000000	4.980949	0.018650		species	32	0	
